"subject"|"activityName"|"tBodyAcc-mean()-X"|"tBodyAcc-mean()-Y"|"tBodyAcc-mean()-Z"|"tBodyAcc-std()-X"|"tBodyAcc-std()-Y"|"tBodyAcc-std()-Z"|"tGravityAcc-mean()-X"|"tGravityAcc-mean()-Y"|"tGravityAcc-mean()-Z"|"tGravityAcc-std()-X"|"tGravityAcc-std()-Y"|"tGravityAcc-std()-Z"|"tBodyAccJerk-mean()-X"|"tBodyAccJerk-mean()-Y"|"tBodyAccJerk-mean()-Z"|"tBodyAccJerk-std()-X"|"tBodyAccJerk-std()-Y"|"tBodyAccJerk-std()-Z"|"tBodyGyro-mean()-X"|"tBodyGyro-mean()-Y"|"tBodyGyro-mean()-Z"|"tBodyGyro-std()-X"|"tBodyGyro-std()-Y"|"tBodyGyro-std()-Z"|"tBodyGyroJerk-mean()-X"|"tBodyGyroJerk-mean()-Y"|"tBodyGyroJerk-mean()-Z"|"tBodyGyroJerk-std()-X"|"tBodyGyroJerk-std()-Y"|"tBodyGyroJerk-std()-Z"|"tBodyAccMag-mean()"|"tBodyAccMag-std()"|"tGravityAccMag-mean()"|"tGravityAccMag-std()"|"tBodyAccJerkMag-mean()"|"tBodyAccJerkMag-std()"|"tBodyGyroMag-mean()"|"tBodyGyroMag-std()"|"tBodyGyroJerkMag-mean()"|"tBodyGyroJerkMag-std()"|"fBodyAcc-mean()-X"|"fBodyAcc-mean()-Y"|"fBodyAcc-mean()-Z"|"fBodyAcc-std()-X"|"fBodyAcc-std()-Y"|"fBodyAcc-std()-Z"|"fBodyAcc-meanFreq()-X"|"fBodyAcc-meanFreq()-Y"|"fBodyAcc-meanFreq()-Z"|"fBodyAccJerk-mean()-X"|"fBodyAccJerk-mean()-Y"|"fBodyAccJerk-mean()-Z"|"fBodyAccJerk-std()-X"|"fBodyAccJerk-std()-Y"|"fBodyAccJerk-std()-Z"|"fBodyAccJerk-meanFreq()-X"|"fBodyAccJerk-meanFreq()-Y"|"fBodyAccJerk-meanFreq()-Z"|"fBodyGyro-mean()-X"|"fBodyGyro-mean()-Y"|"fBodyGyro-mean()-Z"|"fBodyGyro-std()-X"|"fBodyGyro-std()-Y"|"fBodyGyro-std()-Z"|"fBodyGyro-meanFreq()-X"|"fBodyGyro-meanFreq()-Y"|"fBodyGyro-meanFreq()-Z"|"fBodyAccMag-mean()"|"fBodyAccMag-std()"|"fBodyAccMag-meanFreq()"|"fBodyBodyAccJerkMag-mean()"|"fBodyBodyAccJerkMag-std()"|"fBodyBodyAccJerkMag-meanFreq()"|"fBodyBodyGyroMag-mean()"|"fBodyBodyGyroMag-std()"|"fBodyBodyGyroMag-meanFreq()"|"fBodyBodyGyroJerkMag-mean()"|"fBodyBodyGyroJerkMag-std()"|"fBodyBodyGyroJerkMag-meanFreq()"
1|"LAYING"|0.22159824394|-0.0405139534294|-0.11320355358|-0.9280564692|-0.83682740562|-0.826061401628|-0.24888179828|0.70554977346|0.4458177198|-0.8968300184|-0.90772000676|-0.85236629022|0.0810865342|0.0038382040088|0.010834236361|-0.958482112|-0.9241492736|-0.9548551108|-0.016553093978|-0.064486124088|0.14868943626|-0.87354386782|-0.9510904402|-0.9082846626|-0.107270949192|-0.04151728689|-0.0740501211|-0.9186085208|-0.9679072436|-0.9577901596|-0.8419291525|-0.79514486386|-0.8419291525|-0.79514486386|-0.9543962646|-0.9282456284|-0.874759548|-0.81901016976|-0.96346103|-0.9358409828|-0.9390990524|-0.86706520518|-0.8826668762|-0.9244374346|-0.8336255561|-0.81289155944|-0.158792670508|0.097534841586|0.08943765522|-0.9570738838|-0.9224626098|-0.9480609042|-0.9641607086|-0.9322178704|-0.9605869872|0.132419092398|0.024513618956|0.02438794528|-0.850249174586|-0.9521914948|-0.909302721|-0.8822964508|-0.9512320494|-0.9165825082|-0.003546795856|-0.091529130882|0.01045812566|-0.8617676481|-0.7983009404|0.08640856294|-0.9333003608|-0.9218039756|0.26639115416|-0.8621901854|-0.82431943968|-0.1397750127|-0.9423669466|-0.9326606676|0.17648590708
1|"SITTING"|0.261237565425532|-0.00130828765170213|-0.104544182255319|-0.977229008297872|-0.922618641914894|-0.93958629106383|0.831509933404255|0.204411592680851|0.332043702765957|-0.968457145744681|-0.935517055957447|-0.949040933191489|0.0774825199574468|-0.000619102785106384|-0.00336779235021277|-0.986430711276596|-0.981371965319149|-0.987910804468085|-0.045350056512766|-0.0919241549361702|0.0629313811914894|-0.977211283191489|-0.966473895319149|-0.941425920851064|-0.0936793807234043|-0.0402118124255319|-0.046702627|-0.99173159212766|-0.989518068510638|-0.987935806382979|-0.948536786170213|-0.927078418723404|-0.948536786170213|-0.927078418723404|-0.987364195531915|-0.984120024042553|-0.93089249|-0.934531840425532|-0.991976341276596|-0.988308728510638|-0.979641238723404|-0.944084550425532|-0.959184889148936|-0.976412313191489|-0.917275006382979|-0.934469558085106|-0.0495135975489362|0.0759460768510638|0.238829870148936|-0.986597022553191|-0.981579467021277|-0.986053092340425|-0.987492994468085|-0.982513909574468|-0.988339184893617|0.256610823568085|0.0475437839595745|0.0923920032553192|-0.976161464042553|-0.975838585319149|-0.951315544468085|-0.977904227021277|-0.962345042553192|-0.94391784106383|0.189153021260851|0.0631270669787234|-0.0297839207446809|-0.947782922553192|-0.928444801702128|0.236655011680851|-0.985262126808511|-0.981606177446808|0.351852201957447|-0.958435589361702|-0.932198374893617|-0.000262186717021277|-0.989797547234043|-0.987049617234043|0.184775928085106
1|"STANDING"|0.278917629056604|-0.0161375901037736|-0.110601817735849|-0.995759901509434|-0.973190056415094|-0.979775876981132|0.942952000377358|-0.272983832264151|0.0134905823226415|-0.99376298509434|-0.981225957924528|-0.976324063584906|0.0753766542264151|0.00797573092830189|-0.00368524954709434|-0.994604542264151|-0.98564873245283|-0.992251177358491|-0.0239877347979245|-0.0593972209811321|0.074800751|-0.987191946603774|-0.98773444|-0.980645626981132|-0.0996092129056604|-0.0440627877924528|-0.0489505466716981|-0.992945106981132|-0.995137917358491|-0.992108467169811|-0.984278207358491|-0.981942928867925|-0.984278207358491|-0.981942928867925|-0.992367790566038|-0.993096209433962|-0.976493792830189|-0.978690028679245|-0.994966790566038|-0.994733238679245|-0.995249932641509|-0.977070847735849|-0.985297098679245|-0.99602834509434|-0.972293102075472|-0.977937259622642|0.0865153619088679|0.117478948718868|0.244858585792453|-0.994630797358491|-0.985418704528302|-0.990752166037736|-0.995073759245283|-0.987018226792453|-0.992349818113208|0.314182940150943|0.0391618954943396|0.138581478749057|-0.986386786037736|-0.988984455849057|-0.980773122830189|-0.987497128679245|-0.987107727735849|-0.98234533|-0.120293020603774|-0.0447191978169811|0.100607635139623|-0.985356361132075|-0.982313804716981|0.284555290773585|-0.99254247754717|-0.992536003396226|0.422220102264151|-0.984617623396226|-0.978466072075472|-0.0286057725328302|-0.994815376981132|-0.994671123207547|0.334498734301887
1|"WALKING"|0.277330758736842|-0.0173838185273684|-0.111148103547368|-0.283740258842105|0.114461336747368|-0.260027902210526|0.935223201473684|-0.282165021263158|-0.068102864|-0.976609642526316|-0.971305961473684|-0.947717226105263|0.0740416333157895|0.0282721095884211|-0.00416840617789474|-0.113615602435789|0.0670025007684211|-0.502699788526316|-0.041830963526|-0.0695300462115789|0.0849448173042105|-0.473535485894737|-0.0546077686594737|-0.344266629473684|-0.0899975423705263|-0.0398428709463158|-0.0461309295021053|-0.207421854757895|-0.304468510631579|-0.404255452631579|-0.136971176556842|-0.219688645631579|-0.136971176556842|-0.219688645631579|-0.141428809031579|-0.0744717500625263|-0.160979552536842|-0.186978364526316|-0.298703679084211|-0.325324878894737|-0.202794306326316|0.0897127264021053|-0.331560117789474|-0.319134719578947|0.056040006846|-0.279686751494737|-0.207548374494737|0.113093646103158|0.0497265196172632|-0.170546964549579|-0.0352255241130632|-0.468999224631579|-0.133586606326316|0.106739857136|-0.534713440421053|-0.209261973376842|-0.386237143210526|-0.185530281244211|-0.339032197115789|-0.103059416434737|-0.255940940315789|-0.516691938736842|-0.0335081597884211|-0.436562227473684|0.0147844986621053|-0.0657746190010526|0.00077332156431579|-0.128623450629474|-0.398032586842105|0.1906437244|-0.0571194000343158|-0.103492403002105|0.0938221807027368|-0.199252568986316|-0.321017953894737|0.268844367525895|-0.319308593778947|-0.381601911789474|0.190663448793684
1|"WALKING_DOWNSTAIRS"|0.289188320408163|-0.00991850461020408|-0.107566190908163|0.0300353383483878|-0.0319359434489796|-0.230434213204082|0.931874418979592|-0.266610338979592|-0.0621199585938775|-0.950559811632653|-0.937018658979592|-0.895939695102041|0.0541553164897959|0.0296504490408163|-0.0109719730183673|-0.012283860544898|-0.101601390640816|-0.345735032326531|-0.0350781902989796|-0.0909371290204082|0.0900850142030612|-0.458030542938775|-0.126349194938775|-0.124702454242857|-0.0739592036271429|-0.0439902783367347|-0.0270461061061224|-0.487027342244898|-0.238824827530612|-0.268761480242857|0.0271882914106122|0.0198843506265306|0.0271882914106122|0.0198843506265306|-0.0894474807979592|-0.0257877197081633|-0.0757412543673469|-0.225724368061224|-0.295463843346939|-0.306510645530612|0.0382291831510204|0.00154990783591837|-0.225574471693878|0.0243308391387755|-0.112963739953061|-0.297927894693878|-0.307395198687755|0.0632200839346939|0.294322700810612|-0.0276638676122449|-0.12866715764898|-0.288334735714286|-0.0863278966402041|-0.134580008877551|-0.401721464285714|-0.253164344918367|-0.33758970122449|0.00937223889183673|-0.352449631363265|-0.0557022524693878|-0.0318694271979592|-0.495422486102041|-0.181414728657143|-0.238443565306122|-0.100453729040816|0.0825511487183673|-0.0756762067714286|0.0965845343040816|-0.186530301073469|0.119187142767959|0.0262184949326531|-0.104052260726531|0.0764915474326531|-0.185720285744898|-0.398350390122449|0.349613895469388|-0.281963359177551|-0.391919876612245|0.190000706165102
1|"WALKING_UPSTAIRS"|0.255461689622641|-0.0239531492643396|-0.0973020020943396|-0.35470802509434|-0.00232026501698113|-0.0194792388471698|0.89335109754717|-0.362153364339623|-0.075402939754717|-0.956367027924528|-0.952849233207547|-0.912379410377358|0.101372729922642|0.0194863076188679|-0.0455625449113208|-0.446843887735849|-0.378274426037736|-0.706593530943396|0.050549379754717|-0.166170015088679|0.0583595463981132|-0.544871104528302|0.00410518379811321|-0.50716867490566|-0.122232768011321|-0.0421485884509434|-0.0407125527654717|-0.614786508490566|-0.601696656226415|-0.606332002264151|-0.129927630735849|-0.324970929245283|-0.129927630735849|-0.324970929245283|-0.466503446226415|-0.478991622075472|-0.126735589969811|-0.14861931805283|-0.59488286509434|-0.648553044339623|-0.404321784150943|-0.190976720811321|-0.433349702075472|-0.337428188679245|0.0217695106566038|0.0859565543849057|-0.418735000377359|-0.160697213516981|-0.520114793584906|-0.479875245660377|-0.41344458754717|-0.685474353962264|-0.461907025849057|-0.381777065283019|-0.726040200754717|-0.377023128301887|-0.509495531698113|-0.551104284150943|-0.492611667924528|-0.319474609056604|-0.453597213018868|-0.565892490754717|0.151538905566038|-0.57170784|-0.187450247737736|-0.473574786603774|-0.133373904258491|-0.352395944716981|-0.416260101509434|-0.0977433496415094|-0.44265216245283|-0.533059853773585|0.085352409154717|-0.325961457396226|-0.182985518264151|-0.219303376110566|-0.634665082075472|-0.693930521509434|0.114277342454717
2|"LAYING"|0.2832948778|-0.01784790459|-0.10746959714|-0.8542722118|-0.770280181888|-0.8669984586|-0.097026802|0.4411038476|0.48312226658|-0.9690695824|-0.9849863322|-0.9839076516|0.074301077741|0.024199736014|0.007403560532|-0.819405129692|-0.751169405248|-0.8954575936|-0.0260431693048|-0.0961849746|0.11321495702|-0.8825146018|-0.8812620644|-0.848999291|-0.1039743352|-0.035442768338|-0.065255254094|-0.8262858514|-0.8865863788|-0.8362604122|-0.8238840682|-0.8531490304|-0.8238840682|-0.8531490304|-0.82069529988|-0.79129854804|-0.8356232038|-0.866192645|-0.8694315024|-0.862507583|-0.8417967728|-0.75920150116|-0.8717763478|-0.8599396878|-0.79073014434|-0.8743653502|-0.10952585444|0.23750565832|0.30381080962|-0.826424748|-0.77447170486|-0.8898884898|-0.82829556434|-0.74303190976|-0.8998563584|0.15374247482|0.042624787092|0.07153059814|-0.8443637622|-0.8797312308|-0.8261847182|-0.8947630668|-0.8832369256|-0.871549216|0.089083507284|0.045692898226|0.104575508602|-0.8297693432|-0.8914423208|0.2801197355|-0.79882326708|-0.782304251|0.37637708164|-0.8624334464|-0.8950798666|0.11578887016|-0.8773626864|-0.8541459406|0.25462714942
2|"SITTING"|0.276756059361702|-0.0172905092382979|-0.107962654744681|-0.863160478723404|-0.771324772212766|-0.861439823404255|0.585840508085106|0.0227916687234043|0.265760107170213|-0.974642943617021|-0.973844572978723|-0.972298811914894|0.0802545387659575|0.00472155547425532|0.00290173227957447|-0.839815080638298|-0.765729033508511|-0.896198079148936|-0.0446762986085106|-0.0688946686893617|0.0993182961276596|-0.894762086382979|-0.890676509361702|-0.856253594255319|-0.0883779843404255|-0.0439838677744681|-0.0518597313191489|-0.848438836382979|-0.904284572553192|-0.857893221276596|-0.82965619|-0.846619278297872|-0.82965619|-0.846619278297872|-0.835224124680851|-0.805116281021277|-0.84365365787234|-0.871251198085106|-0.887508153191489|-0.882805503404255|-0.847128841276596|-0.75960271392766|-0.866081719787234|-0.870195611914894|-0.79249302212766|-0.869657441914894|-0.0154227879519149|0.160759828419149|0.202120480414894|-0.843778331702128|-0.776984942659575|-0.886528795106383|-0.850294584680851|-0.76946633462766|-0.904638274468085|0.193782522528426|-0.0325032048889362|0.0989265993829787|-0.855226861914894|-0.889771364680851|-0.835350370425532|-0.907647986170213|-0.89219079212766|-0.877322946382979|0.105695154638298|-0.11888142913617|0.0472147206340426|-0.827435942765957|-0.882560187234043|0.243550186793617|-0.799387092553192|-0.812954557680851|0.263338800319149|-0.870844930425532|-0.896313987234043|0.0338598486404255|-0.88964049106383|-0.882224725744681|0.196304590848936
2|"STANDING"|0.276688076981132|-0.0168575939566038|-0.105370978188679|-0.982888676226415|-0.947864921698113|-0.948482039245283|0.907720126792453|-0.248927505602717|0.18347069609434|-0.977609803584906|-0.958950158490566|-0.945269356415094|0.0718019773962264|0.0124054531243396|0.0015232506654717|-0.980456812641509|-0.970172182264151|-0.982103793396226|-0.0349119316020755|-0.0705273103018868|0.0595465793886792|-0.975612726037736|-0.969233388867925|-0.956964915283019|-0.102004132603774|-0.0431198203962264|-0.0492561912622642|-0.981350554150943|-0.983033713962264|-0.973412552264151|-0.962129056226415|-0.945618538301887|-0.962129056226415|-0.945618538301887|-0.980292766226415|-0.974652307924528|-0.946123738113208|-0.949315002641509|-0.984339823962264|-0.977139273584906|-0.979973807169811|-0.95149298509434|-0.960966931698113|-0.984518435849057|-0.948759480754717|-0.945477585660377|0.0948725189792453|0.140182302137547|0.127862342066038|-0.980159953584906|-0.969527516415094|-0.979124416415094|-0.982705269056604|-0.973271143396226|-0.983737413018868|0.314707973245283|-0.00415788252264151|0.0303036660528302|-0.970099665660377|-0.97106715490566|-0.952915039056604|-0.97748404490566|-0.968560469811321|-0.962524231509434|-0.00107411847169811|-0.131561394020755|0.0440807443035849|-0.953615049433962|-0.949492698301887|0.140367328973585|-0.975168624339623|-0.972998553962264|0.228385874033962|-0.959028758490566|-0.951888412830189|-0.0588813950056604|-0.977730151509434|-0.977751552075472|0.164880372584906
2|"WALKING"|0.274671992515789|-0.0236888285713684|-0.117632590873684|-0.207389273705263|0.0894331036210526|-0.291028635210526|0.871655964736842|-0.352914049157895|0.0470575013494737|-0.953923131157895|-0.949879026210526|-0.940489149789474|0.0800358293765263|0.00870882700736842|0.00383939204842105|-0.117990175282105|0.00229708901368421|-0.512152851473684|-0.0815366715422105|-0.0253191329157895|0.07335739368|-0.465259187793684|-0.479797184421053|-0.393097597452632|-0.0680360769736842|-0.0465739994873684|-0.0566342275157895|-0.376196230315789|-0.593347686863158|-0.375098414047368|-0.115495044311579|-0.129441982509474|-0.115495044311579|-0.129441982509474|-0.189399261763158|-0.0307715458568421|-0.3209096302|-0.421164114842105|-0.522515690210526|-0.502085554568421|-0.14157217114|0.102812385529368|-0.331055195978947|-0.236747478574737|0.0106317305989474|-0.327379410142105|-0.246765319521053|0.0676529534357895|0.0186188057965263|-0.126156071167368|-0.0326170099968421|-0.463413208694737|-0.191943164063158|-0.0294953842842105|-0.560035422842105|-0.109679725750526|-0.315408413421053|-0.268609172157895|-0.328708275316842|-0.477648117242105|-0.278289046764211|-0.510758801842105|-0.488911140842105|-0.494170157473684|-0.0390097987547368|-0.0473090119894737|0.109908807830526|-0.0458345632547368|-0.317801434969474|0.200015991849474|-0.0291958608305263|-0.0414614224210526|0.0802560316642105|-0.446808495231579|-0.507793476547368|0.134568069559684|-0.526257951631579|-0.507631718684211|0.0210135169329474
